|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
0|Gilbert Adair|UK|L'Atalante (Vigo)|Les Dames du Bois de Boulogne (Bresson)|Gertrud (Dreyer)|Limelight (Chaplin)|La Nuit du carrefour (Renoir)|Orphée (Cocteau)|Playtime (Tati)|The Story of the Late Chrysanthemums (Mizoguchi)|Sin of Nora Moran (Goldstone)|Whispering Pages (Sokurov)|||
1|Richard Allen|US|Andrei Roublev (Tarkovsky)|L'Atalante (Vigo)|Citizen Kane (Welles)|8 1/2 (Fellini)|M (Lang)|Man with a Movie Camera (Vertov)|The Passion of Joan of Arc (Dreyer)|La Règle du jeu (Renoir)|Ugetsu Monogatari (Mizoguchi)|Vertigo (Hitchcock)|||
2|Geoff Andrew|UK|L'Atalante (Vigo)|Les Demoiselles de Rochefort (Demy)|His Girl Friday (Hawks)|The Magnificent Ambersons (Welles)|Ma nuit chez Maud (Rohmer)|Ordet (Dreyer)|Our Hospitality (Keaton)|Le Plaisir (Ophuls)|Tokyo Story (Ozu)|The Wind Will Carry Us (Kiarostami)|||
3|Nigel Andrews|UK|Citizen Kane (Welles)|Vertigo (Hitchcock)|Aguirre, Wrath of God (Herzog)|The Night of the Hunter (Laughton)|Spirited Away (Miyazaki)|Hour of the Wolf (Bergman)|Europa (von Trier)|Happiness (Solondz)|Careful (Maddin)|The Godfather and The Godfather Part II (Coppola)|||
4|David Ansen|US|Chimes at Midnight (Welles)|The Conformist (Bertolucci)|Hope and Glory (Boorman)|Jules et Jim (Truffaut)|McCabe & Mrs. Miller (Altman)|La notte di San Lorenzo (Tavianis)|La Règle du jeu (Renoir)|Sherlock Jr. (Keaton)|The Third Man (Reed)|Trouble in Paradise (Lubitsch)|||
5|Manuel Antin|Argentina|City Lights (Chaplin)|Citizen Kane (Welles)|Amarcord (Fellini)|Wild Strawberries (Bergman)|Les Enfants du paradis (Carné)|Rashomon (Kurosawa)|Viridiana (Buñuel)|The Lady Vanishes (Hitchcock)|Miracle in Milan (De Sica)|Metropolis (Lang)|||
6|Peter von Bagh|Finland|The Wedding March (von Stroheim)|Okraina (Barnet)|Make Way for Tomorrow (McCarey)|A Canterbury Tale (Powell, Pressburger)|Late Spring (Ozu)|Rio Grande (Ford)|Édouard et Caroline (Becker)|Bigger Than Life (N. Ray)|Man of the West (A. Mann)|And Life Goes On... (Kiarostami)|||
7|Angela Baldassarre|Canada|The Godfather and The Godfather Part II (Coppola)|The 400 Blows (Truffaut)|1900 (Bertolucci)|Citizen Kane (Welles)|The Great Dictator (Chaplin)|Gone with the Wind (Fleming)|City Lights (Chaplin)|La dolce vita (Fellini)|Battleship Potemkin (Eisenstein)|Metropolis (Lang)|||
8|Charles Barr|UK|The Old Actor (Griffith)|Ingeborg Holm (Sjöström)|The Wind (Sjöström)|Le Crime de Monsieur Lange (Renoir)|The Lady Vanishes (Hitchcock)|Random Harvest (LeRoy)|A Canterbury Tale (Powell, Pressburger)|My Love Has Been Burning (Mizoguchi)|The Man Who Shot Liberty Valance (Ford)|King Lear (Brook)|||
9|Chris Berry|US/Australia|A City of Sadness (Hou)|Battleship Potemkin (Eisenstein)|I Was Born, But... (Ozu)|The Highway (Sun Yu)|Through the Olive Trees (Kiarostami)|A Touch of Zen (Hu)|In a Year with Thirteen Moons (Fassbinder)|Vive l'Amour (Tsai)|Juliet of the Spirits (Fellini)|A One and a Two... (Yang)|||
