ID|Title|Director
0|À bout de souffle|Godard
1|A.I. Artificial Intelligence|Spielberg
2|Accattone|Pasolini
3|Ace in the Hole|Wilder
4|The Addiction|Ferrara
5|The African Queen|Huston
6|L'Age d'or|Buñuel
7|The Age of Innocence|Scorsese
8|Aguirre, Wrath of God|Herzog
9|Ai no corrida|Oshima
10|Alexander Nevsky|Eisenstein
11|Alice in the Cities|Wenders
12|All about Eve|Mankiewicz
13|All about My Mother|Almodóvar
14|All Quiet on the Western Front|Milestone
15|All That Heaven Allows|Sirk
16|Alphaville|Godard
17|Les Amants du Pont-Neuf|Carax
18|Amarcord|Fellini
19|America America|Kazan
20|American Graffiti|Lucas
21|The American Soldier|Fassbinder
22|Amores perros|González Iñárritu
23|An Angel at My Table|Campion
24|An Autumn Afternoon|Ozu
25|Anatomy of a Murder|Preminger
26|And Life Goes On...|Kiarostami
27|And the Ship Sails On|Fellini
28|Andaz|Khan
29|Andrei Roublev|Tarkovsky
30|Angel|Lubitsch
31|Angels with Dirty Faces|Curtiz
32|Annie Hall|Allen
33|Antonia's Line|Gorris
34|Antonio das Mortes|Rocha
35|Aparajito|S. Ray
36|The Apartment|Wilder
37|Apocalypse Now|Coppola
38|The Apple|S. Makhmalbaf
39|The Apu Trilogy|S. Ray
40|Arabian Nights|Pasolini
41|L'Argent|Bresson
42|L'Argent|L'Herbier
43|Artists and Models|Tashlin
44|Ashes and Diamonds|Wajda
45|Ashes of Time|Wong
46|L'Atalante|Vigo
47|Atanarjuat The Fast Runner|Kunuk
48|Au hasard Balthazar|Bresson
49|L'avventura|Antonioni
50|Awara|Kapoor
51|The Awful Truth|McCarey
52|Baby Doll|Kazan
53|Back to the Future|Zemeckis
54|Bad Day at Black Rock|J. Sturges
55|Badlands|Malick
56|Baiju Bawra|Bhatt
57|Ballad of Little Jo|Greenwald
58|Bande à part|Godard
59|Barry Lyndon|Kubrick
60|Barton Fink|Coen
61|Bashu, The Little Stranger|Beyzaï
62|The Battle of Algiers|Pontecorvo
63|Battleship Potemkin|Eisenstein
64|Becky Sharp|Mamoulian
65|Behind the Green Door|Mitchell
66|The Bellboy|Lewis
67|Belle de jour|Buñuel
68|La Belle et la Bête|Cocteau
69|La Belle Noiseuse|Rivette
70|Berlin Alexanderplatz|Fassbinder
71|Berlin, Symphony of a City|Ruttmann
72|Besieged|Bertolucci
73|The Best Years of Our Lives|Wyler
74|Beyond a Reasonable Doubt|Lang
75|Bicycle Thieves|De Sica
76|The Big Heat|Lang
77|The Big Sleep|Hawks
78|Bigger Than Life|N. Ray
79|The Birds|Hitchcock
80|The Birth of a Nation|Griffith
81|Bitter Coffee|Karya
82|Black God, White Devil|Rocha
83|Black Hawk Down|Scott
84|Black Narcissus|Powell, Pressburger
85|Blade Runner|Scott
86|Blind Chance|Kieslowski
87|Block-Heads|Blystone
88|A Blonde in Love|Forman
89|Blowup|Antonioni
90|Blue|Jarman
91|Blue Velvet|Lynch
92|Bob le flambeur|Melville
93|Bogeyman|Aravindan
94|Bonnie and Clyde|Penn
95|Boom!|Losey
96|Boy|Oshima
97|The Boy with Green Hair|Losey
98|Boys Don't Cry|Peirce
99|Brainstorm|Conrad
100|Branded to Kill|Suzuki
101|Brazil|Gilliam
102|Breaking the Waves|von Trier
103|Bride of Frankenstein|Whale
104|The Bridge on the River Kwai|Lean
105|Brief Encounter|Lean
106|A Brighter Summer Day|Yang
107|Bring Me the Head of Alfredo Garcia|Peckinpah
108|Bringing Up Baby|Hawks
109|Brink of Life|Bergman
110|Broadway Danny Rose|Allen
111|Broken Blossoms|Griffith
112|Brother|Kitano
113|The Brothers Karamazov|Brooks
114|Burnt by the Sun|Mikhalkov
115|Butterflies and Flowers|Mukdasanit
116|By the Bluest of Seas|Barnet
117|Cabeza de vaca|Echevarria
118|The Cabinet of Dr. Caligari|Wiene
119|Cairo Station|Chahine
120|The Cameraman|Sedgwick
121|A Canterbury Tale|Powell, Pressburger
122|Captain Blood|Curtiz
123|Car Wash|Schultz
124|Careful|Maddin
125|Carmen Jones|Preminger
126|Carrie|De Palma
127|Casablanca|Curtiz
128|Casanova|Fellini
129|Casino|Scorsese
130|Casque d'or|Becker
131|Cat People|Tourneur
132|Cattle Queen of Montana|Dwan
133|Ceddo|Sembéne
134|Celine and Julie Go Boating|Rivette
135|The Celluloid Closet|Epstein
136|Central Station|Salles
137|Charulata|S. Ray
138|The Chelsea Girls|Warhol
139|Un Chien andalou|Buñuel
140|Chimes at Midnight|Welles
141|Chinatown|Polanski
142|Chungking Express|Wong
143|Chunhyang|Im
144|El Cid|A. Mann
145|Cinema Paradiso|Tornatore
146|The Circus|Chaplin
147|Citizen Kane|Welles
148|City Lights|Chaplin
149|A City of Sadness|Hou
150|Claire's Knee|Rohmer
