|Title|Year|Director|Country
0|A nos Amours|1983|Maurice Pialat|France
1|A Place in the Sun|1951|George Stevens|USA
2|A Valparaíso|1963|Joris Ivens|Chile, France
3|A.I. Artificial Intelligence|2001|Steven Spielberg|USA
4|Aaja Nachle|2007|Anil Mehta|India
5|Abraham's Valley|1993|Manoel de Oliveira|Switzerland, France, Portugal
6|Abschied|1930|Robert Siodmak|Germany
7|Accattone|1961|Pier Paolo Pasolini|Italy
8|Accidental Tourist, The|1988|Lawrence Kasdan|USA
9|accuse, J'|1918|Abel Gance|France
10|Ace in the Hole|1951|Billy Wilder|USA
11|Acrobatic Sisters Dainef, The/six soeurs Dainef, Les||Anonimous|
12|Act of Seeing with One's Own Eyes, The|1971|Stan Brakhage|USA
13|Acts of the Apostles||Roberto Rossellini|Italy
14|Addiction, The|1994|Abel Ferrara|USA
15|Adebar|1957|Peter Kubelka|Austria
16|Adieu Philippine|1962|Jacques Rozier|France, Italy
17|Adventures of Buckaroo Banzai Across the 8th Dimension|1984|WD Richter|USA
18|Adventures of Prince Achmed, The|1926|Lotte Reiniger|Germany
19|Adversary, The|1971|Satyajit Ray|India
20|Advise and Consent|1962|Otto Preminger|USA
21|Aerial|1974|Margaret Tait|Great Britain
22|Affair to Remember, An|1957|Leo McCarey|USA
23|African Queen, The|1951|John Huston|Great Britain, USA
24|Afrique 50|1950|René Vautier|France
25|After Life|1998|Koreeda Hirokazu|Japan
26|After the Wedding|2006|Susan Brier|Denmark, Great Britain, Sweden
27|Afterschool|2008|Antonio Campos|France, USA
28|Age d'Or, L'|1930|Luis Buñuel|France
29|Age of Cosimo de Medici, The||Roberto Rossellini|Italy
30|Age of Innocence, The|1993|Martin Scorsese|USA
31|Age of the Earth, The|1980|Glauber Rocha|Brazil
32|Aguaespejo granadino|1955|José Val del Omar|Spain
33|Aguirre, Wrath of God|1972|Werner Herzog|
34|Ah Ying||Allen Fong|
35|Airplane!|1980|Jim Abrahams, David Zucker, Jerry Zucker|USA
36|Aleksandr Nevski|1938|Sergei M Eisenstein|USSR
37|Alice|1988|Jan Svankmajer|Switzerland, Great Britain
38|Alice Doesn't Live Here Anymore|1974|Martin Scorsese|USA
39|Alice in the Cities|1974|Wim Wenders|
